cat,template,type
Aggregation-count Query,Calculate the number of line in LINE.,0
Aggregation-count Query,Calculate the number of point in POINT.,0
Aggregation-count Query,Calculate the number of region in REGION.,0
Aggregation-count Query,Can you furnish me with the aggregate count of LINE in REGION?,1
Aggregation-count Query,Can you furnish me with the aggregate count of POINT in REGION?,1
Aggregation-count Query,Can you furnish me with the aggregate count of REGION in REGION?,1
Aggregation-count Query,Can you inform me about the count of LINE in each region of REGION?,2
Aggregation-count Query,Can you inform me about the count of LINE in REGION?,1
Aggregation-count Query,Can you inform me about the count of POINT in each region of REGION?,2
Aggregation-count Query,Can you inform me about the count of POINT in REGION?,1
Aggregation-count Query,Can you inform me about the count of REGION in each region of REGION?,2
Aggregation-count Query,Can you inform me about the count of REGION in REGION?,1
Aggregation-count Query,Can you inform me about the number of LINE in REGION?,1
Aggregation-count Query,Can you inform me about the number of POINT in REGION?,1
Aggregation-count Query,Can you inform me about the number of REGION in REGION?,1
Aggregation-count Query,Can you provide the count of LINE in REGION?,1
Aggregation-count Query,Can you provide the count of LINE in REGION?,1
Aggregation-count Query,Can you provide the count of POINT in REGION?,1
Aggregation-count Query,Can you provide the count of POINT in REGION?,1
Aggregation-count Query,Can you provide the count of REGION in REGION?,1
Aggregation-count Query,Can you provide the count of REGION in REGION?,1
Aggregation-count Query,Can you provide the number of LINE in REGION?,1
Aggregation-count Query,Can you provide the number of LINE in REGION?,1
Aggregation-count Query,Can you provide the number of POINT in REGION?,1
Aggregation-count Query,Can you provide the number of POINT in REGION?,1
Aggregation-count Query,Can you provide the number of REGION in REGION?,1
Aggregation-count Query,Can you provide the number of REGION in REGION?,1
Aggregation-count Query,Can you tell me the count of LINE in REGION?,1
Aggregation-count Query,Can you tell me the count of POINT in REGION?,1
Aggregation-count Query,Can you tell me the count of REGION in REGION?,1
Aggregation-count Query,Can you tell me the number of LINE in REGION?,1
Aggregation-count Query,Can you tell me the number of POINT in REGION?,1
Aggregation-count Query,Can you tell me the number of REGION in REGION?,1
Aggregation-count Query,Can you tell me the quantity of LINE in REGION?,1
Aggregation-count Query,Can you tell me the quantity of POINT in REGION?,1
Aggregation-count Query,Can you tell me the quantity of REGION in REGION?,1
Aggregation-count Query,Could you enumerate the aggregate number of LINE in REGION?,1
Aggregation-count Query,Could you enumerate the aggregate number of POINT in REGION?,1
Aggregation-count Query,Could you enumerate the aggregate number of REGION in REGION?,1
Aggregation-count Query,Could you enumerate the number of LINE in REGION?,1
Aggregation-count Query,Could you enumerate the number of POINT in REGION?,1
Aggregation-count Query,Could you enumerate the number of REGION in REGION?,1
Aggregation-count Query,Could you furnish me with the aggregate number of LINE in REGION?,1
Aggregation-count Query,Could you furnish me with the aggregate number of POINT in REGION?,1
Aggregation-count Query,Could you furnish me with the aggregate number of REGION in REGION?,1
Aggregation-count Query,Could you give me the total number of LINE in REGION?,1
Aggregation-count Query,Could you give me the total number of POINT in REGION?,1
Aggregation-count Query,Could you give me the total number of REGION in REGION?,1
Aggregation-count Query,Could you inform me about the count of LINE in REGION?,1
Aggregation-count Query,Could you inform me about the count of POINT in REGION?,1
Aggregation-count Query,Could you inform me about the count of REGION in REGION?,1
Aggregation-count Query,Could you inform me about the number of LINE in REGION?,1
Aggregation-count Query,Could you inform me about the number of POINT in REGION?,1
Aggregation-count Query,Could you inform me about the number of REGION in REGION?,1
Aggregation-count Query,Could you inform me about the quantity of LINE in REGION?,1
Aggregation-count Query,Could you inform me about the quantity of POINT in REGION?,1
Aggregation-count Query,Could you inform me about the quantity of REGION in REGION?,1
Aggregation-count Query,Could you inform me about the total number of LINE in REGION?,1
Aggregation-count Query,Could you inform me about the total number of POINT in REGION?,1
Aggregation-count Query,Could you inform me about the total number of REGION in REGION?,1
Aggregation-count Query,Could you please advise me on the total count of LINE in REGION?,1
Aggregation-count Query,Could you please advise me on the total count of POINT in REGION?,1
Aggregation-count Query,Could you please advise me on the total count of REGION in REGION?,1
Aggregation-count Query,Could you please enumerate the number of LINE in REGION?,1
Aggregation-count Query,Could you please enumerate the number of POINT in REGION?,1
Aggregation-count Query,Could you please enumerate the number of REGION in REGION?,1
Aggregation-count Query,Could you please furnish me with the total count of LINE in REGION?,1
Aggregation-count Query,Could you please furnish me with the total count of POINT in REGION?,1
Aggregation-count Query,Could you please furnish me with the total count of REGION in REGION?,1
Aggregation-count Query,Could you please furnish me with the total number of LINE in REGION?,1
Aggregation-count Query,Could you please furnish me with the total number of POINT in REGION?,1
Aggregation-count Query,Could you please furnish me with the total number of REGION in REGION?,1
Aggregation-count Query,Could you please inform me about the aggregate number of LINE in REGION?,1
Aggregation-count Query,Could you please inform me about the aggregate number of POINT in REGION?,1
Aggregation-count Query,Could you please inform me about the aggregate number of REGION in REGION?,1
Aggregation-count Query,Could you please provide me with the aggregate count of LINE in REGION?,1
Aggregation-count Query,Could you please provide me with the aggregate count of POINT in REGION?,1
Aggregation-count Query,Could you please provide me with the aggregate count of REGION in REGION?,1
Aggregation-count Query,Could you please provide me with the total count of LINE in REGION?,1
Aggregation-count Query,Could you please provide me with the total count of POINT in REGION?,1
Aggregation-count Query,Could you please provide me with the total count of REGION in REGION?,1
Aggregation-count Query,Could you please provide the total number of LINE in REGION?,1
Aggregation-count Query,Could you please provide the total number of POINT in REGION?,1
Aggregation-count Query,Could you please provide the total number of REGION in REGION?,1
Aggregation-count Query,Could you please tell me the count of LINE in REGION?,1
Aggregation-count Query,Could you please tell me the count of POINT in REGION?,1
Aggregation-count Query,Could you please tell me the count of REGION in REGION?,1
Aggregation-count Query,Could you provide the count of LINE in REGION?,1
Aggregation-count Query,Could you provide the count of POINT in REGION?,1
Aggregation-count Query,Could you provide the count of REGION in REGION?,1
Aggregation-count Query,Could you provide the number of LINE in REGION?,1
Aggregation-count Query,Could you provide the number of POINT in REGION?,1
Aggregation-count Query,Could you provide the number of REGION in REGION?,1
Aggregation-count Query,Could you provide the quantity of LINE in REGION?,1
Aggregation-count Query,Could you provide the quantity of POINT in REGION?,1
Aggregation-count Query,Could you provide the quantity of REGION in REGION?,1
Aggregation-count Query,Could you provide the total number of LINE in REGION?,1
Aggregation-count Query,Could you provide the total number of POINT in REGION?,1
Aggregation-count Query,Could you provide the total number of REGION in REGION?,1
Aggregation-count Query,Could you tell me the count of LINE in REGION?,1
Aggregation-count Query,Could you tell me the count of POINT in REGION?,1
Aggregation-count Query,Could you tell me the count of REGION in REGION?,1
Aggregation-count Query,Could you tell me the quantity of LINE in REGION?,1
Aggregation-count Query,Could you tell me the quantity of POINT in REGION?,1
Aggregation-count Query,Could you tell me the quantity of REGION in REGION?,1
Aggregation-count Query,Could you tell me the total number of LINE in REGION?,1
Aggregation-count Query,Could you tell me the total number of POINT in REGION?,1
Aggregation-count Query,Could you tell me the total number of REGION in REGION?,1
Aggregation-count Query,Count the number of LINE in REGION.,1
Aggregation-count Query,Count the number of POINT in REGION.,1
Aggregation-count Query,Count the number of REGION in REGION.,1
Aggregation-count Query,Count the total number of LINE in REGION.,1
Aggregation-count Query,Count the total number of POINT in REGION.,1
Aggregation-count Query,Count the total number of REGION in REGION.,1
Aggregation-count Query,How many LINE are there in REGION?,1
Aggregation-count Query,How many POINT are there in REGION?,1
Aggregation-count Query,How many REGION are there in REGION?,1
Aggregation-count Query,How many POINT are there on LINE?,1
Aggregation-count Query,How many LINE intersects with REGION?,1
Aggregation-count Query,How many LINE pass through REGION?,1
Aggregation-count Query,How many LINE pass through POINT?,1
Aggregation-count Query,How many LINE pass through LINE?,1
Aggregation-count Query,How many LINE does the LINE go through?,1
Aggregation-count Query,How many LINE does the LINE run through?,1
Aggregation-count Query,How many LINE flows through the POINT?,1
Aggregation-count Query,How many LINE flows through the REGION?,1
Aggregation-count Query,How many LINE goes through the LINE?,1
Aggregation-count Query,How many LINE goes through the POINT?,1
Aggregation-count Query,How many LINE goes through the REGION?,1
Aggregation-count Query,How many LINE on the LINE?,1
