cat,query,relations,entities
Aggregation-count Query,How many WStrassen intersects with Schmöckwitzer Werder?,['WStrassen'],['Schmöckwitzer Werder']
Aggregation-count Query,I am looking for the total number of Sehenswuerdreg in Plötzensee|(Berlin-Wedding).,['Sehenswuerdreg'],['Plötzensee|(Berlin-Wedding)']
Aggregation-count Query,How many Wasserumland2 runs through the Märkische Allee -- Landsberger Allee?,['Wasserumland2'],['Märkische Allee -- Landsberger Allee']
Aggregation-count Query,Kindly provide me with the total count of Flaechen in Grunewaldsee.,['Flaechen'],['Grunewaldsee']
Aggregation-count Query,Could you please furnish me with the total count of WStrassen in Hubertussee?,['WStrassen'],['Hubertussee']
Aggregation-max Query,"Among all Flaechen, which one has the most convergence of paths?",['Flaechen'],[]
Aggregation-max Query,Which WFlaechen has the largest number of Landstrassen2 intersecting within its boundaries?,"['WFlaechen', 'Landstrassen2']",[]
Aggregation-max Query,"Among all Faehren, which one experiences the most intersections of roads?",['Faehren'],[]
Aggregation-max Query,Which Sehenswuerdreg encompasses the largest area where Wuhlebecken intersects?,['Sehenswuerdreg'],['Wuhlebecken']
Aggregation-max Query,Which road interchange has the largest number of RBahn intersecting within its boundaries?,"['road', 'RBahn']",[]
Aggregation-max Query,"Among all WFlaechen, which one has the largest number of rivers and paths crossing one another?",['WFlaechen'],[]
Aggregation-max Query,Which Flaechen is crossed by the most number of RBahn?,"['Flaechen', 'RBahn']",[]
Aggregation-max Query,Which poi is crossed by the most number of WStrassen?,"['poi', 'WStrassen']",[]
Aggregation-max Query,Which Sehenswuerdreg intersects the largest territory with Dahme?,['Sehenswuerdreg'],['Dahme']
Aggregation-max Query,Which SBahnhof is crossed by the most number of Faehren?,"['SBahnhof', 'Faehren']",[]
Aggregation-sum Query,Give the total number of # in Große Krampe.,[],['Große Krampe']
Aggregation-sum Query,Can you provide the combined surface area of all SBahn that intersect Hafenplatz?,['SBahn'],['Hafenplatz']
Aggregation-sum Query,What is the total area of all WFlaechen intersecting Holländisches Viertel?,['WFlaechen'],['Holländisches Viertel']
Aggregation-sum Query,Can you tell me the total number of # in Berliner Stadtforst Köpenick?,[],['Berliner Stadtforst Köpenick']
Aggregation-sum Query,Can you tell me the total area covered by lakes in Herthasee?,[],['Herthasee']
Aggregation-sum Query,Can you tell me the total # of all # in Volkspark Humboldthain?,[],['Volkspark Humboldthain']
Aggregation-sum Query,Calculate the total length of all Landstrassen2 in Bodemuseum.,['Landstrassen2'],['Bodemuseum']
Aggregation-sum Query,Can you provide the combined area of all Flaechen in Halensee?,['Flaechen'],['Halensee']
Aggregation-sum Query,Can you tell me the total number of # in Grimmstr.?,[],['Grimmstr.']
Aggregation-sum Query,I am interested in the combined land area of all WFlaechen within Königsheide.,['WFlaechen'],['Königsheide']
Aggregation-sum Query,I am interested in the aggregate water area of all Sehenswuerdreg in Dämeritzsee.,['Sehenswuerdreg'],['Dämeritzsee']
Basic-area Query,I'm intrigued by the immense scale of Archenhold-Sternwarte in Sehenswuerdreg.,['Sehenswuerdreg'],['Archenhold-Sternwarte']
Basic-area Query,What is the area of Flughafensee in WFlaechen?,['WFlaechen'],['Flughafensee']
Basic-area Query,I'm interested in the expanse of Spree in WFlaechen. Could you furnish that information?,['WFlaechen'],['Spree']
Basic-area Query,Dimensions of Sacrower Lanke in WFlaechen?,['WFlaechen'],['Sacrower Lanke']
Basic-area Query,Kindly furnish me with the geographical dimensions of Volkspark Schönholzer Heide in Flaechen.,['Flaechen'],['Volkspark Schönholzer Heide']
Basic-area Query,Can you provide insights into the expansive scope of Freizeitpark Tegel in Flaechen?,['Flaechen'],['Freizeitpark Tegel']
Basic-area Query,Havel's expanse in WFlaechen?,['WFlaechen'],['Havel']
Basic-area Query,Could you please furnish the area specifications for Wuhlheide of Flaechen?,['Flaechen'],['Wuhlheide']
Basic-area Query,Could you reveal the vast expanse of Berliner Forst Düppel in Flaechen?,['Flaechen'],['Berliner Forst Düppel']
Basic-area Query,Can you provide the geographical area of Lindwerder in Flaechen?,['Flaechen'],['Lindwerder']
Basic-direction Query,"Generally, how do I head towards Lohmühlenstr. from Jülicher Str.?",[],"['Lohmühlenstr.', 'Jülicher Str.']"
Basic-direction Query,What is the compass bearing between B167: Neustadt - Löwenberg and Märkisches Ufer?,[],"['B167: Neustadt - Löwenberg', 'Märkisches Ufer']"
Basic-direction Query,"What's the compass bearing if I travel from Friedrichstr. (Mitte, Kreuzberg) to Wandlitz?",[],"['Friedrichstr. (Mitte, Kreuzberg)', 'Wandlitz']"
Basic-direction Query,Directional bearing between RB20 and Berlin-Spandau?,[],"['RB20', 'Berlin-Spandau']"
Basic-direction Query,"Could you please suggest the directional path from Wildenbruchstr. (Neukölln, Treptow) to Mark Brandenburg?",[],"['Wildenbruchstr. (Neukölln, Treptow)', 'Mark Brandenburg']"
Basic-direction Query,Could you please tell me the direction from Eggesin - Ueckermünde to Erbkaveln?,[],"['Eggesin - Ueckermünde', 'Erbkaveln']"
Basic-distance Query,What's the distance in kilometers between Hänselstr. and Adolf-Damschke-Str. (Werder)?,[],"['Hänselstr.', 'Adolf-Damschke-Str. (Werder)']"
Basic-distance Query,What's the approximate distance from Nibelungenstr. (Wannsee) to Taodong Road?,[],"['Nibelungenstr. (Wannsee)', 'Taodong Road']"
Basic-distance Query,Distance in meters between Börnicke - Willmersdorf and Tempelhof.,[],"['Börnicke - Willmersdorf', 'Tempelhof']"
Basic-distance Query,Calculate the distance between Jakobsdorfer See and Priesterweg (Schöneberg).,[],"['Jakobsdorfer See', 'Priesterweg (Schöneberg)']"
Basic-distance Query,What's the distance between RB63 and Falkenberger Chaussee?,[],"['RB63', 'Falkenberger Chaussee']"
Basic-distance Query,Could you give me an approximate mileage from Bahnhofstr. (Luckenwalde) to Qingliangmen Bridge?,[],"['Bahnhofstr. (Luckenwalde)', 'Qingliangmen Bridge']"
