cat,query,relations,entities
Aggregation-count Query,Is it possible to obtain the count of UBahn in Großer Wannsee?,['UBahn'],['Großer Wannsee']
Aggregation-count Query,Could you inform me about the number of Landstrassen in Schloß Pfaueninsel?,['Landstrassen'],['Schloß Pfaueninsel']
Aggregation-count Query,Kindly inform me about the overall number of SBahn in Pfingstberg.,['SBahn'],['Pfingstberg']
Aggregation-count Query,List the count of UBahnhof in Berliner Stadtforst Köpenick.,['UBahnhof'],['Berliner Stadtforst Köpenick']
Aggregation-count Query,Kindly inform me about the aggregate count of Flaechen in Auguste-Vikoria-Krankenhaus.,['Flaechen'],['Auguste-Vikoria-Krankenhaus']
Aggregation-count Query,How many WFlaechen does the Tonghuai Street go through?,['WFlaechen'],['Tonghuai Street']
Aggregation-max Query,Which Flaechen reserve has the most significant overlap with Schlesischer Busch?,['Flaechen'],['Schlesischer Busch']
Aggregation-max Query,Which Sehenswuerdreg has the most intersecting strassen?,"['Sehenswuerdreg', 'strassen']",[]
Aggregation-max Query,"Among all PLZBoundaries, which one has the highest stream intersection density?",['PLZBoundaries'],[]
Aggregation-max Query,"Among all Sehenswuerdreg, which one has the largest number of rivers and paths crossing one another?",['Sehenswuerdreg'],[]
Aggregation-max Query,"Among all Flaechen, which one experiences the most intersections of roads?",['Flaechen'],[]
Aggregation-max Query,Which Flaechen is crossed by the most number SBahn?,"['Flaechen', 'SBahn']",[]
Aggregation-max Query,Which Flaechen encompasses the most extensive area where Krossinsee intersects?,['Flaechen'],['Krossinsee']
Aggregation-max Query,In which Flaechen can you find the most WFlaechen?,"['Flaechen', 'WFlaechen']",[]
Aggregation-max Query,"Among all WFlaechen, which one has the most convergence of roads.",['WFlaechen'],[]
Aggregation-max Query,"Among all Flaechen, which one has the largest number of rivers and paths crossing one another?",['Flaechen'],[]
Aggregation-max Query,Which Sehenswuerdreg has the most extensive overlap with (Insel im Habermannsee)?,['Sehenswuerdreg'],['(Insel im Habermannsee)']
Aggregation-max Query,Which WStrassen junction has the largest number of strassen intersecting within its boundaries?,"['WStrassen', 'strassen']",[]
Aggregation-max Query,"Among all Sehenswuerdreg, which one has the largest overlapping territory with Akademie der Künste?",['Sehenswuerdreg'],['Akademie der Künste']
Aggregation-max Query,Which WFlaechen encompasses the most extensive area where Heinrich-von-Kleist-Park intersects?,['WFlaechen'],['Heinrich-von-Kleist-Park']
Aggregation-max Query,Which Flaechen encompasses the most extensive area where Berliner Stadtforst Köpenick intersects?,['Flaechen'],['Berliner Stadtforst Köpenick']
Aggregation-sum Query,I would like to know the total water area covered by all WFlaechen in Preußenpark.,['WFlaechen'],['Preußenpark']
Aggregation-sum Query,Can you provide the combined area of all # in Rathaus Köpenick?,[],['Rathaus Köpenick']
Aggregation-sum Query,I am interested in the aggregate water area of all Sehenswuerdreg in Böcklerpark.,['Sehenswuerdreg'],['Böcklerpark']
Aggregation-sum Query,Can you tell me the total land area occupied by all Sehenswuerdreg in Musical-Theater?,['Sehenswuerdreg'],['Musical-Theater']
Aggregation-sum Query,Can you provide the aggregate land area of all # in Volkspark Wilmersdorf?,[],['Volkspark Wilmersdorf']
Aggregation-sum Query,Provide the sum of # in Grunewald.,[],['Grunewald']
Aggregation-sum Query,What is the combined # in Freizeitpark Tegel?,[],['Freizeitpark Tegel']
Aggregation-sum Query,Calculate the total length of all PLZBoundaries in Park am Buschkrug.,['PLZBoundaries'],['Park am Buschkrug']
Aggregation-sum Query,I would like to know the total area of all WFlaechen in Jungfernheideteich.,['WFlaechen'],['Jungfernheideteich']
Aggregation-sum Query,Aggregate the total area covered by Flaechen in Altes Museum.,['Flaechen'],['Altes Museum']
Basic-area Query,I'm intrigued by the monumental size of Bundesrat (?) in Sehenswuerdreg.,['Sehenswuerdreg'],['Bundesrat (?)']
Basic-area Query,Please tell me the area of Nordhafen Spandau in WFlaechen.,['WFlaechen'],['Nordhafen Spandau']
Basic-area Query,Please enumerate the dimensions of Krumme Lanke in WFlaechen.,['WFlaechen'],['Krumme Lanke']
Basic-area Query,Please provide insights into the expansive scope of Nikolassee in WFlaechen.,['WFlaechen'],['Nikolassee']
Basic-area Query,Kindly inform me about the geographical area of Kanzleramt in Sehenswuerdreg.,['Sehenswuerdreg'],['Kanzleramt']
Basic-area Query,Please tell me the surface area of Thielpark in Flaechen.,['Flaechen'],['Thielpark']
Basic-area Query,What's the extent of Schloß Bellevue in Sehenswuerdreg?,['Sehenswuerdreg'],['Schloß Bellevue']
Basic-area Query,Please tell me the area of Holländisches Viertel in Sehenswuerdreg.,['Sehenswuerdreg'],['Holländisches Viertel']
Basic-area Query,Can you give me the size of Berliner Stadtforst Köpenick in Flaechen?,['Flaechen'],['Berliner Stadtforst Köpenick']
Basic-area Query,I'm interested in the areal dimensions of Schloß Charlottenburg in Sehenswuerdreg.,['Sehenswuerdreg'],['Schloß Charlottenburg']
Basic-direction Query,What's the approximate directional bearing between Körbelitz - Niegripp and Blumenthal (Mark)?,[],"['Körbelitz - Niegripp', 'Blumenthal (Mark)']"
Basic-direction Query,I'm looking for directions from Klo to Reinsdorf.,[],"['Klo', 'Reinsdorf']"
Basic-direction Query,How would you generally chart the course from Gerwisch to Shanghai Road?,[],"['Gerwisch', 'Shanghai Road']"
Basic-direction Query,Can you guide me on the course bearing from Altes Museum to Wirtshaus Hasenheide?,[],"['Altes Museum', 'Wirtshaus Hasenheide']"
Basic-direction Query,What route should I take from Bruchwitzstr. to Fehrbelliner Platz?,[],"['Bruchwitzstr.', 'Fehrbelliner Platz']"
Basic-direction Query,Can you provide the pathway from Bestensee to Große Weinmeisterstr. (Potsdam)?,[],"['Bestensee', 'Große Weinmeisterstr. (Potsdam)']"
Basic-direction Query,Map the direction from Wildpark West (F2.2) to Trattoria Petrocelli.,[],"['Wildpark West (F2.2)', 'Trattoria Petrocelli']"
Basic-direction Query,Can you provide the compass heading from Kunz-Buntschuh-Str. to Suckow?,[],"['Kunz-Buntschuh-Str.', 'Suckow']"
Basic-distance Query,Distance query: Finsterwalder Str. to Zhuangpai Road.,[],"['Finsterwalder Str.', 'Zhuangpai Road']"
