cat,query,relations,entities
Aggregation-count Query,Could you provide the total number of UBahnhof in Großer Kuhwall?,['UBahnhof'],['Großer Kuhwall']
Aggregation-count Query,Could you please enumerate the number of WFlaechen in Neue Wache?,['WFlaechen'],['Neue Wache']
Aggregation-count Query,I am looking for the overall number of strassen in Havel.,['strassen'],['Havel']
Aggregation-count Query,Kindly provide me with the count of Landstrassen in Rehwiese.,['Landstrassen'],['Rehwiese']
Aggregation-count Query,Can you inform me about the number of RBahn in Marstall?,['RBahn'],['Marstall']
Aggregation-count Query,Is it possible to obtain the overall count of UBahn in Villa Borsig?,['UBahn'],['Villa Borsig']
Aggregation-count Query,Please advise me on the total count of road in Lietzensee.,['road'],['Lietzensee']
Aggregation-count Query,Could you enumerate the aggregate number of WFlaechen in Tempodrom?,['WFlaechen'],['Tempodrom']
Aggregation-count Query,How many SBahn pass through Eiswerder?,['SBahn'],['Eiswerder']
Aggregation-count Query,Could you tell me the count of Flaechen in Universitäts-Bibliothek?,['Flaechen'],['Universitäts-Bibliothek']
Aggregation-count Query,Can you provide the count of Landstrassen2 in Messelpark?,['Landstrassen2'],['Messelpark']
Aggregation-count Query,Can you inform me about the count of road in Hundekehlesee?,['road'],['Hundekehlesee']
Aggregation-count Query,What is the tally of OrteCity in Volkspark Schönholzer Heide?,['OrteCity'],['Volkspark Schönholzer Heide']
Aggregation-count Query,Can you provide the count of Kneipen in Gedenkstätte Plötzensee?,['Kneipen'],['Gedenkstätte Plötzensee']
Aggregation-count Query,Could you furnish me with the aggregate number of Kneipen in Heinrich-Lassen-Park?,['Kneipen'],['Heinrich-Lassen-Park']
Aggregation-count Query,Kindly provide me with the total count of WFlaechen in Marheinekehalle.,['WFlaechen'],['Marheinekehalle']
Aggregation-count Query,Could you enumerate the aggregate number of RBahn in Bezirksamt Kreuzberg?,['RBahn'],['Bezirksamt Kreuzberg']
Aggregation-count Query,How many Sehenswuerdreg runs through the Warburgzeile?,['Sehenswuerdreg'],['Warburgzeile']
Aggregation-count Query,Could you inform me about the number of RBahnhof in Schloßpark Köpenick?,['RBahnhof'],['Schloßpark Köpenick']
Aggregation-count Query,Can you inform me about the count of Faehren in each region of Sehenswuerdreg?,"['Faehren', 'Sehenswuerdreg']",[]
Aggregation-count Query,Could you tell me the total number of Restaurants in Grunewaldsee?,['Restaurants'],['Grunewaldsee']
Aggregation-count Query,Could you provide the total number of poi in Thielpark?,['poi'],['Thielpark']
Aggregation-count Query,Could you please provide the total number of PLZBoundaries in Schloßpark Lichterfelde?,['PLZBoundaries'],['Schloßpark Lichterfelde']
Aggregation-count Query,What is the tally of RBahnhof in Schloß Bellevue?,['RBahnhof'],['Schloß Bellevue']
Aggregation-count Query,Could you furnish me with the aggregate number of poi in Waldeckpark?,['poi'],['Waldeckpark']
Aggregation-count Query,I am looking for the total number of RBahn in Volkspark Rehberge.,['RBahn'],['Volkspark Rehberge']
Aggregation-count Query,Kindly provide me with the overall number of RBahn in Pichelssee.,['RBahn'],['Pichelssee']
Aggregation-count Query,Can you inform me about the number of Sehenswuerdreg in Berlin-Museum?,['Sehenswuerdreg'],['Berlin-Museum']
Aggregation-count Query,How many SBahn pass by Zyankali Bar?,['SBahn'],['Zyankali Bar']
Aggregation-count Query,Can you inform me about the number of WFlaechen in Havel?,['WFlaechen'],['Havel']
Aggregation-count Query,Could you tell me the quantity of RBahn in Berliner Forst Tegel?,['RBahn'],['Berliner Forst Tegel']
Aggregation-count Query,Can you inform me about the number of SBahnhof in Messelpark?,['SBahnhof'],['Messelpark']
Aggregation-count Query,Could you provide the quantity of Restaurants in Gosener Kanal?,['Restaurants'],['Gosener Kanal']
Aggregation-count Query,Count the total number of UBahn in Westhafen.,['UBahn'],['Westhafen']
Aggregation-count Query,How many Flaechen runs through the Stadtbibliothek?,['Flaechen'],['Stadtbibliothek']
Aggregation-count Query,I would like to know the aggregate number of strassen in Berliner Stadtforst Köpenick.,['strassen'],['Berliner Stadtforst Köpenick']
Aggregation-count Query,Could you please advise me on the total count of Sehenswuerdreg in Heinrich-Lassen-Park?,['Sehenswuerdreg'],['Heinrich-Lassen-Park']
Aggregation-count Query,How many Flaechen goes through the Zähringerstr.?,['Flaechen'],['Zähringerstr.']
Aggregation-count Query,Count the number of Sehenswuerdreg in Werner-von-Siemens-Park.,['Sehenswuerdreg'],['Werner-von-Siemens-Park']
Aggregation-count Query,What is the count of Flaechen in Butzer See?,['Flaechen'],['Butzer See']
Aggregation-count Query,Please advise me on the total count of WStrassen in Krankenhaus Neukölln.,['WStrassen'],['Krankenhaus Neukölln']
Aggregation-count Query,Could you inform me about the quantity of Flaechen in Bäkepark?,['Flaechen'],['Bäkepark']
Aggregation-count Query,Could you tell me the total number of UBahnhof in Monbijoupark?,['UBahnhof'],['Monbijoupark']
Aggregation-count Query,Can you tell me the number of RBahnhof in Lilienthalpark?,['RBahnhof'],['Lilienthalpark']
Aggregation-count Query,Kindly inform me about the overall number of WFlaechen in Messelpark.,['WFlaechen'],['Messelpark']
Aggregation-count Query,How many strassen pass by Insel der Jugend?,['strassen'],['Insel der Jugend']
Aggregation-count Query,I am interested in the aggregate count of poi in Kapellenberg.,['poi'],['Kapellenberg']
